Województwo,Powiat,Gmina,Miejscowość,Ulica (jeśli dotyczy),Typ punktu/Kategoria obszaru,WGS84 X,WGS84 Y,Parametr pomiaru,Data pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Wartość maksymalna (Emax) [V/m],Niepewność pomiaru  [V/m],Wartość wskaźnika poziomu emisji pól elektromagnetycznych WME (z obliczeń)
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Dokerska 54,Miasta powyżej 200000 mieszkańców,16.9629,51.141989,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-15,2.8,1.8,4.95,3.14,0.29
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Wilanowska 33-44,Miasta powyżej 200000 mieszkańców,17.138278,51.157361,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,"<0,3",,1.47,0.93,0.09
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Wzgórze Partyzantów,Miasta powyżej 200000 mieszkańców,17.039,51.104369,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,0.6,0.4,1.14,0.72,0.07
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Wybrzeże Wyspiańskiego,Miasta powyżej 200000 mieszkańców,17.056111,51.107306,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,0.4,0.3,0.71,0.45,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Park Nowowiejski (Tołpy),Miasta powyżej 200000 mieszkańców,17.052194,51.120667,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-23,0.3,0.2,0.77,0.49,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,M. Bacciarelliego,Miasta powyżej 200000 mieszkańców,17.111833,51.10425,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-20,"<0,3",,0.87,0.55,0.05
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,pl. Św. Macieja,Miasta powyżej 200000 mieszkańców,17.035833,51.119639,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-15,1,0.6,1.8,1.15,0.1
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,pl. Katedralny,Miasta powyżej 200000 mieszkańców,17.04625,51.113639,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,0.4,0.3,0.74,0.47,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Mielecka 31,Miasta powyżej 200000 mieszkańców,17.001222,51.090389,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-04,"<0,3",,3.53,2.24,0.21
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Cynowa 5,Miasta powyżej 200000 mieszkańców,16.997972,51.09775,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-23,0.7,0.4,0.96,0.61,0.06
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Hermanowska 41,Miasta powyżej 200000 mieszkańców,16.953,51.123439,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-05,"<0,3",,0.72,0.45,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Krępicka 46A,Miasta powyżej 200000 mieszkańców,16.861833,51.150167,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-05,4.6,2.9,7.6,4.82,0.44
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Jelenia 48,Miasta powyżej 200000 mieszkańców,16.994444,51.12525,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-15,"<0,3",,2.13,1.35,0.13
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Niskie Łąki 35,Miasta powyżej 200000 mieszkańców,17.06955,51.097219,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,"<0,3",,0.62,0.39,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Węigla 3a,Miasta powyżej 200000 mieszkańców,17.019472,51.076556,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,2.4,1.5,2.83,1.79,0.17
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Zimowa,Miasta powyżej 200000 mieszkańców,17.00125,51.071556,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-04,"<0,3",,2.41,1.53,0.14
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Asnyka,Miasta powyżej 200000 mieszkańców,17.054806,51.141361,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,0.3,0.2,0.66,0.42,0.04
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław,Gorlicka 78,Miasta powyżej 200000 mieszkańców,17.124389,51.143333,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,"<0,3",,0.76,0.48,0.04
